metadata_row,complex_name,compound_group,smiles,experimental_pKD,covalent,fragment_screen,pb_valid_prepared,pb_valid_ref,suspected_artefact,sucos_shape,pocket_qcov,sucos_shape_pocket_qcov,complex_directory,complex_ref_pdb_path,complex_ref_pdb_exists,complex_ref_pdb_bytes,complex_ref_pdb_sha256,prepared_protein_pdb_path,prepared_protein_pdb_exists,prepared_protein_pdb_bytes,prepared_protein_pdb_sha256,ligand_ref_sdf_path,ligand_ref_sdf_exists,ligand_ref_sdf_bytes,ligand_ref_sdf_sha256,ligand_prepared_sdf_path,ligand_prepared_sdf_exists,ligand_prepared_sdf_bytes,ligand_prepared_sdf_sha256,complex_ref_pdb_coordinate_records,complex_ref_pdb_atom_records,complex_ref_pdb_hetatm_records,complex_ref_pdb_ligand_records,prepared_protein_pdb_coordinate_records,prepared_protein_pdb_atom_records,prepared_protein_pdb_hetatm_records,prepared_protein_pdb_ligand_records,ligand_ref_sdf_parse_ok,ligand_ref_sdf_molecule_count,ligand_ref_sdf_atom_count,ligand_ref_sdf_heavy_atom_count,ligand_ref_sdf_formal_charge,ligand_ref_sdf_elements,ligand_prepared_sdf_parse_ok,ligand_prepared_sdf_molecule_count,ligand_prepared_sdf_atom_count,ligand_prepared_sdf_heavy_atom_count,ligand_prepared_sdf_formal_charge,ligand_prepared_sdf_elements
11,A71EV2A-x0237a,x0237a,Cc1ccc(CNC(=O)C2CCC2)cn1,,False,True,True,True,False,54.4437,88.2353,48.0386,structures/x0237a/A71EV2A-x0237a,structures/x0237a/A71EV2A-x0237a/A71EV2A-x0237a_complex_ref.pdb,True,186800,310a7dd06d23edd385b47fa57d00111ae5b31a186dbeea8734152a9e74367901,structures/x0237a/A71EV2A-x0237a/A71EV2A-x0237a_prepared.pdb,True,171224,e8e0272df15dd3ccf86dee5b5db3b74ef68fe1926241a2fcaa8c7425a79a32cd,structures/x0237a/A71EV2A-x0237a/A71EV2A-x0237a_ligand_ref.sdf,True,1387,cfd1b08574a41bb1a2cfe9f07f23bdaaace008048438d67b77d18878867750b0,structures/x0237a/A71EV2A-x0237a/A71EV2A-x0237a_ligand_prepared.sdf,True,2715,b82e448de40bc697c36f0d6428e07ad715d2c9783079c9c4de3dd4191bf429da,2234,2196,38,15,2112,2112,,,True,1,15,15,0,C:12;N:2;O:1,True,1,31,15,0,C:12;H:16;N:2;O:1
12,A71EV2A-x0239a,x0239a,CCC(=O)NCc1nnc2n1CCCC2,,False,True,True,True,False,56.3575,20,11.2715,structures/x0239a/A71EV2A-x0239a,structures/x0239a/A71EV2A-x0239a/A71EV2A-x0239a_complex_ref.pdb,True,102951,a2b29334ec2811476ed9bfbd12159a707e3e1c1c45fcdc29eade26c61165f229,structures/x0239a/A71EV2A-x0239a/A71EV2A-x0239a_prepared.pdb,True,171224,eaed33f35e25735c1cfb3f2b199cb64edeb545d1ffd287e85659d0c9b2727062,structures/x0239a/A71EV2A-x0239a/A71EV2A-x0239a_ligand_ref.sdf,True,1387,fe9fa441833791ba106b65f829630f07dc0ae2ac1073d2db619a0244802931bd,structures/x0239a/A71EV2A-x0239a/A71EV2A-x0239a_ligand_prepared.sdf,True,2715,e88392db43efe6b0157891a6b8ddc81764a7076a0c8f7adba43103b2148fc29c,1154,1103,51,15,2112,2112,,,True,1,15,15,0,C:10;N:4;O:1,True,1,31,15,0,C:10;H:16;N:4;O:1
13,A71EV2A-x0269a,x0269a,O=C(N[C@H]1CCCNC1)c1ccccc1,,False,True,True,True,True,44.4705,12.5,5.5588,structures/x0269a/A71EV2A-x0269a,structures/x0269a/A71EV2A-x0269a/A71EV2A-x0269a_complex_ref.pdb,True,101817,9575923f8fa6c93ab3de58fe23b8e99a65804d338424996ee8c0f151bd4123f4,structures/x0269a/A71EV2A-x0269a/A71EV2A-x0269a_prepared.pdb,True,171224,f20e079aaf2a0f2271a2b9689dd9629417b9ef686e1bc35b9af30b28c2252580,structures/x0269a/A71EV2A-x0269a/A71EV2A-x0269a_ligand_ref.sdf,True,1387,cfc4e72cd2e95b3d40d7b8fa1453eb953293750dac97d27bae70f6f3a82ce8ba,structures/x0269a/A71EV2A-x0269a/A71EV2A-x0269a_ligand_prepared.sdf,True,2816,aff260edff9dd465413a3ec77103f1430d1f3297e20e9f459730d9bbb933f2a8,1142,1103,39,15,2112,2112,,,True,1,15,15,0,C:12;N:2;O:1,True,1,32,15,1,C:12;H:17;N:2;O:1
14,A71EV2A-x0278b,x0278a_x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,,False,True,True,True,False,56.2573,12.5,7.0322,structures/x0278a_x0278b/A71EV2A-x0278b,structures/x0278a_x0278b/A71EV2A-x0278b/A71EV2A-x0278b_complex_ref.pdb,True,98834,3e0cfd97d65e3f440a5515165820c0381fcc70457b34973dfab507ab21949986,structures/x0278a_x0278b/A71EV2A-x0278b/A71EV2A-x0278b_prepared.pdb,True,171224,4f28d24cb393ec951e34c17bca0596e60d6283145c7bf560a05a575ef205d307,structures/x0278a_x0278b/A71EV2A-x0278b/A71EV2A-x0278b_ligand_ref.sdf,True,1387,e519688e275acba5b0b6ae4c51fa6d362118155d6d77ab66ef4036324e93fce4,structures/x0278a_x0278b/A71EV2A-x0278b/A71EV2A-x0278b_ligand_prepared.sdf,True,2650,3b63edd6d4b3dae4717a00e41d6b6be7e46528c0238c137dd21e9a25ca1aaab6,1147,1103,44,15,2112,2112,,,True,1,15,15,0,C:10;N:2;O:2;S:1,True,1,30,15,1,C:10;H:15;N:2;O:2;S:1
15,A71EV2A-x0278a,x0278a_x0278b,N[C@H]1CCN(S(=O)(=O)c2ccccc2)C1,,False,True,True,True,True,43.846,71.4286,31.3186,structures/x0278a_x0278b/A71EV2A-x0278a,structures/x0278a_x0278b/A71EV2A-x0278a/A71EV2A-x0278a_complex_ref.pdb,True,99320,63d25f195b5e1372b218700991e09fbfd0a1c6579bcc553488e305f36845908b,structures/x0278a_x0278b/A71EV2A-x0278a/A71EV2A-x0278a_prepared.pdb,True,171224,0412f828edffef515424861683a0fc1f931fc03869407e2df5aa4502a9e95f0c,structures/x0278a_x0278b/A71EV2A-x0278a/A71EV2A-x0278a_ligand_ref.sdf,True,1387,0b9414c0ffa53912d1b018c098a18a5e922803a7d3df96fa32c85ee293bd3fc2,structures/x0278a_x0278b/A71EV2A-x0278a/A71EV2A-x0278a_ligand_prepared.sdf,True,2650,866993181476d9f4c9c5f1f60d519dd1310fb2bde4ee1b85f6f5b79ff6489147,1153,1103,50,15,2112,2112,,,True,1,15,15,0,C:10;N:2;O:2;S:1,True,1,30,15,1,C:10;H:15;N:2;O:2;S:1
16,A71EV2A-x0305a,x0305a,CNS(=O)(=O)c1cccc(C)c1F,,False,True,True,True,False,53.4089,22.2222,11.8687,structures/x0305a/A71EV2A-x0305a,structures/x0305a/A71EV2A-x0305a/A71EV2A-x0305a_complex_ref.pdb,True,98504,7a763be510f4b688088a120a6346838f409a6f120c56ef328fe3394abe733e3d,structures/x0305a/A71EV2A-x0305a/A71EV2A-x0305a_prepared.pdb,True,171224,9fb079f8ea0e8c559c810342c4ef2a68968ad2a2957929e7fc0cba22d1c1f87c,structures/x0305a/A71EV2A-x0305a/A71EV2A-x0305a_ligand_ref.sdf,True,1208,ff49ed14950968aba76de7af9cb193b12bea18eb1309a107d49eeeee4433cdf0,structures/x0305a/A71EV2A-x0305a/A71EV2A-x0305a_ligand_prepared.sdf,True,2038,b1d9e8cec75b7dc93163fd2874d07efcadf5863b723a352429c2a21a02779a94,1142,1097,45,13,2112,2112,,,True,1,13,13,0,C:8;F:1;N:1;O:2;S:1,True,1,23,13,0,C:8;F:1;H:10;N:1;O:2;S:1
17,A71EV2A-x0309a,x0309a,Cn1ccnc1-c1noc(C2CCC2)n1,,False,True,True,True,False,48.2455,28.5714,13.7844,structures/x0309a/A71EV2A-x0309a,structures/x0309a/A71EV2A-x0309a/A71EV2A-x0309a_complex_ref.pdb,True,99314,96dd2eb22b805f99c361bea0ef843e15a5a85f02b630179f34fe59ae324d0d0c,structures/x0309a/A71EV2A-x0309a/A71EV2A-x0309a_prepared.pdb,True,171224,4d8c2b5be15ac0b7d2d8a245b2c3f02244b63514007c7c88bc3c80d75aaf9634,structures/x0309a/A71EV2A-x0309a/A71EV2A-x0309a_ligand_ref.sdf,True,1400,0967dd1ccd561f6ff45ddbe4b8627d982d768a95671c6289e86176aea6d99d59,structures/x0309a/A71EV2A-x0309a/A71EV2A-x0309a_ligand_prepared.sdf,True,2396,a79f88eaf9146dc03b5008890b9a1fabf7bafc8533fe8f01d823d08040e1a7aa,1152,1103,49,15,2112,2112,,,True,1,15,15,0,C:10;N:4;O:1,True,1,27,15,0,C:10;H:12;N:4;O:1
18,A71EV2A-x0310a,x0310a,Cc1nn(C)c(C)c1NC(=O)CC#N,,False,True,True,True,False,57.562,95,54.6839,structures/x0310a/A71EV2A-x0310a,structures/x0310a/A71EV2A-x0310a/A71EV2A-x0310a_complex_ref.pdb,True,98591,19218075b2d6f79c4ef2aee713fa7965c8574fa0f1cbe808df28dfd515e524eb,structures/x0310a/A71EV2A-x0310a/A71EV2A-x0310a_prepared.pdb,True,171224,72a4fb83dfcaa4661d8fb74b95e8015a54fe68926cdd9853afcbb1c4de5258fd,structures/x0310a/A71EV2A-x0310a/A71EV2A-x0310a_ligand_ref.sdf,True,1291,9e6f464be9cf57e0ae1cd491cd4a7c700e6e1fbbe3cf7fd48afb0cb9885ef211,structures/x0310a/A71EV2A-x0310a/A71EV2A-x0310a_ligand_prepared.sdf,True,2287,15012e079181b43f869ea74f041203edbad907727632252d78c4c05c318f0a2d,1145,1103,42,14,2112,2112,,,True,1,14,14,0,C:9;N:4;O:1,True,1,26,14,0,C:9;H:12;N:4;O:1
19,A71EV2A-x0332a,x0332a_x2458a,CNS(=O)(=O)c1ccccc1Cl,,False,True,True,True,False,74.5084,22.2222,16.5574,structures/x0332a_x2458a/A71EV2A-x0332a,structures/x0332a_x2458a/A71EV2A-x0332a/A71EV2A-x0332a_complex_ref.pdb,True,102060,10b49913d0db25dadc170daea94d054fb52aaa7c2c08e0ff9954f871bd62ec96,structures/x0332a_x2458a/A71EV2A-x0332a/A71EV2A-x0332a_prepared.pdb,True,171224,e45a3d2d4806c7283ef13d49ef3df7997bc8147106d3152013fdf4c55b2e2a8d,structures/x0332a_x2458a/A71EV2A-x0332a/A71EV2A-x0332a_ligand_ref.sdf,True,1125,b04ac1479f0d691e31252ae7d4ceec5052cfa7c8f8a925a0983e460324fbb501,structures/x0332a_x2458a/A71EV2A-x0332a/A71EV2A-x0332a_ligand_prepared.sdf,True,1789,a030077dee624b3455ed5cac70a7ab19bf3371ae605d2b39c83a7432ac9c669f,1143,1097,46,12,2112,2112,,,True,1,12,12,0,C:7;Cl:1;N:1;O:2;S:1,True,1,20,12,0,C:7;Cl:1;H:8;N:1;O:2;S:1
20,A71EV2A-x0333a,x0333a,CS(=O)(=O)NCCc1ccccc1,,False,True,True,True,True,78.3919,28.5714,22.3977,structures/x0333a/A71EV2A-x0333a,structures/x0333a/A71EV2A-x0333a/A71EV2A-x0333a_complex_ref.pdb,True,96971,723193e0192b883fa5a64a3fc3978f86a215c69b0389de1f9a7359992fc4a3f9,structures/x0333a/A71EV2A-x0333a/A71EV2A-x0333a_prepared.pdb,True,171224,be03f0e0f2b9b496f0a6164e5d8c008d8aa3cc3ecaae5ae2fd864510ef2bf681,structures/x0333a/A71EV2A-x0333a/A71EV2A-x0333a_ligand_ref.sdf,True,1208,eaef2b2cf68c82ec2dd3ad6bce03341fc0febad2aa2c4104ae90c97719cf0dbc,structures/x0333a/A71EV2A-x0333a/A71EV2A-x0333a_ligand_prepared.sdf,True,2287,968c662914b3834e0883a2ab2a390da4b213f81a386287c010e8a4d803c9b2fc,1125,1089,36,13,2112,2112,,,True,1,13,13,0,C:9;N:1;O:2;S:1,True,1,26,13,0,C:9;H:13;N:1;O:2;S:1
21,A71EV2A-x0351c,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,False,True,True,True,True,42.0468,20,8.4094,structures/x0351a_x0351b_x0351c/A71EV2A-x0351c,structures/x0351a_x0351b_x0351c/A71EV2A-x0351c/A71EV2A-x0351c_complex_ref.pdb,True,95432,b0e0b6f683fe1c80bf7d55e549cd2cf20a50cb664d408a33c4ecc54e462ebf8f,structures/x0351a_x0351b_x0351c/A71EV2A-x0351c/A71EV2A-x0351c_prepared.pdb,True,170009,d9f4784ddee38b2ad3d520eca62afbc540fe6192d1ec7751a3c5f1e36fafe673,structures/x0351a_x0351b_x0351c/A71EV2A-x0351c/A71EV2A-x0351c_ligand_ref.sdf,True,1470,bcfaf3da79737e6b4e6f774290eae14e0aa41b660f9d218b0960934f9badf165,structures/x0351a_x0351b_x0351c/A71EV2A-x0351c/A71EV2A-x0351c_ligand_prepared.sdf,True,2549,a29da30286c6f25608575cef25ccb8a39852eec36131d79985660b547c40ff90,1109,1080,29,16,2097,2097,,,True,1,16,16,0,C:10;N:1;O:4;S:1,True,1,29,16,0,C:10;H:13;N:1;O:4;S:1
22,A71EV2A-x0351a,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,False,True,True,True,False,38.1826,94.4444,36.0613,structures/x0351a_x0351b_x0351c/A71EV2A-x0351a,structures/x0351a_x0351b_x0351c/A71EV2A-x0351a/A71EV2A-x0351a_complex_ref.pdb,True,95270,022647705765d441d09beeaca501d01621dcd1d24e937d2008b224d881d77687,structures/x0351a_x0351b_x0351c/A71EV2A-x0351a/A71EV2A-x0351a_prepared.pdb,True,170009,e79e8cc1a721915dfad4d451500911dfb55bff779e1aa6815325e7bbcd9ab4d1,structures/x0351a_x0351b_x0351c/A71EV2A-x0351a/A71EV2A-x0351a_ligand_ref.sdf,True,1470,a9616294cb1eb05f3501fff4771685a7dadde44c86cc9151017bc609d18942ef,structures/x0351a_x0351b_x0351c/A71EV2A-x0351a/A71EV2A-x0351a_ligand_prepared.sdf,True,2549,4a3665237e94af12e76e067fa0b960a50737324f0aae9bc52b8ad7bce455cb9d,1107,1080,27,16,2097,2097,,,True,1,16,16,0,C:10;N:1;O:4;S:1,True,1,29,16,0,C:10;H:13;N:1;O:4;S:1
23,A71EV2A-x0351b,x0351a_x0351b_x0351c,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,,False,True,True,True,False,54.9144,33.3333,18.3048,structures/x0351a_x0351b_x0351c/A71EV2A-x0351b,structures/x0351a_x0351b_x0351c/A71EV2A-x0351b/A71EV2A-x0351b_complex_ref.pdb,True,95027,dc1eddc64d31d36b2ed4dbccab26ad2e3126d6dc62b535a0219f7ca963f18177,structures/x0351a_x0351b_x0351c/A71EV2A-x0351b/A71EV2A-x0351b_prepared.pdb,True,170009,4e3d3ec2908f8f655176a834ee2ea9986175f131bda0e64571f2860c05cdac38,structures/x0351a_x0351b_x0351c/A71EV2A-x0351b/A71EV2A-x0351b_ligand_ref.sdf,True,1470,0d8f2014420360986a1d33f756c07120546c28c52a93346dbc45034476366ec4,structures/x0351a_x0351b_x0351c/A71EV2A-x0351b/A71EV2A-x0351b_ligand_prepared.sdf,True,2549,ae7d84eeced9368e010f7c5bd2a8532ea77622c378e557b28a4706de850e0211,1104,1080,24,16,2097,2097,,,True,1,16,16,0,C:10;N:1;O:4;S:1,True,1,29,16,0,C:10;H:13;N:1;O:4;S:1
